,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
93,2023-04-02,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2167536,0.0,0.0
94,2023-04-03,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2976235,0.0,0.0
95,2023-04-04,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1890996,0.0,0.0
96,2023-04-05,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1507810,0.0,0.0
97,2023-04-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1337193,0.0,0.0
98,2023-04-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1883661,0.0,0.0
99,2023-04-08,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1249069,0.0,0.0
100,2023-04-09,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1211080,0.0,0.0
101,2023-04-10,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1729729,0.0,0.0
102,2023-04-11,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2454007,0.0,0.0
103,2023-04-12,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5808966,0.0,0.0
104,2023-04-13,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7625702,0.0,0.0
105,2023-04-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6964994,0.0,0.0
106,2023-04-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3872158,0.0,0.0
107,2023-04-16,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7006096,0.0,0.0
108,2023-04-17,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5349318,0.0,0.0
109,2023-04-18,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4437973,0.0,0.0
110,2023-04-19,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3449382,0.0,0.0
111,2023-04-20,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3425682,0.0,0.0
112,2023-04-21,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2432146,0.0,0.0
113,2023-04-22,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2561482,0.0,0.0
114,2023-04-23,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2297368,0.0,0.0
115,2023-04-24,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5545154,0.0,0.0
116,2023-04-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2414157,0.0,0.0
117,2023-04-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2871309,0.0,0.0
118,2023-04-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2068285,0.0,0.0
119,2023-04-28,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1690970,0.0,0.0
120,2023-04-29,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1541328,0.0,0.0
121,2023-04-30,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4448577,0.0,0.0
122,2023-05-01,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4320644,0.0,0.0
123,2023-05-02,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2072578,0.0,0.0
124,2023-05-03,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3424967,0.0,0.0
125,2023-05-04,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3047640,0.0,0.0
126,2023-05-05,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6279579,0.0,0.0
127,2023-05-06,,,,0.0,2682851,0.0,0.0
128,2023-05-07,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,3184142,0.0,0.0
129,2023-05-08,,,,0.0,3002420,0.0,0.0
130,2023-05-09,,,,0.0,2718871,0.0,0.0
131,2023-05-10,,,,0.0,3397666,0.0,0.0
132,2023-05-11,,,,0.0,2594308,0.0,0.0
133,2023-05-12,,,,0.0,3299350,0.0,0.0
134,2023-05-13,,,,0.0,5192181,0.0,0.0
135,2023-05-14,,,,0.0,2027601,0.0,0.0
136,2023-05-15,,,,0.0,3375481,0.0,0.0
137,2023-05-16,,,,0.0,2529902,0.0,0.0
138,2023-05-17,,,,0.0,2120102,0.0,0.0
139,2023-05-18,,,,0.0,1660167,0.0,0.0
140,2023-05-19,,,,0.0,1558786,0.0,0.0
141,2023-05-20,,,,0.0,1968382,0.0,0.0
142,2023-05-21,,,,0.0,1564103,0.0,0.0
143,2023-05-22,,,,0.0,1774091,0.0,0.0
144,2023-05-23,,,,0.0,2472955,0.0,0.0
145,2023-05-24,,,,0.0,2565268,0.0,0.0
146,2023-05-25,,,,0.0,1890767,0.0,0.0
147,2023-05-26,,,,0.0,1351150,0.0,0.0
148,2023-05-27,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,7464831,0.0,0.0
149,2023-05-28,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,10335143,0.0,0.0
150,2023-05-29,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,7057660,0.0,0.0
151,2023-05-30,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8905787,0.0,0.0
152,2023-05-31,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,14033342,0.0,0.0
153,2023-06-01,,,,0.0,4553518,0.0,0.0
154,2023-06-02,,,,0.0,2798287,0.0,0.0
155,2023-06-03,,,,0.0,3544851,0.0,0.0
156,2023-06-04,,,,0.0,3957464,0.0,0.0
157,2023-06-05,,,,0.0,3838881,0.0,0.0
158,2023-06-06,,,,0.0,4020641,0.0,0.0
159,2023-06-07,,,,0.0,2541162,0.0,0.0
