id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,83.18,6292682116,23,6292730432,401800181,85.85,81.45,-1.421649164620618,-1.68044,-110088293.00030231,-1.71939,75701039.48347135,75701620.73347135,84000000.0,410.26,-79.70641,2021-05-10T03:13:07.904Z,1.15,7146.98615,2015-01-14T00:00:00.000Z,,2025-04-02T13:45:37.720Z,0.462684258477389,-1.6804399859092802,-13.276356484889284
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.1,6241658112,24,6241658112,162255373,4.27,4.02,-0.09783247823622432,-2.32899,-150653858.43835545,-2.3568,1522267060.0,1522267060.0,,54.98,-92.54306,2021-11-04T14:10:09.301Z,2.7,51.99112,2020-08-20T05:48:11.359Z,,2025-04-02T13:45:39.576Z,0.810848612686707,-2.3289872883855836,-13.484261629729652
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.31,6085111877,25,11438324399,73034115,6.39,6.13,0.04947109,0.79014,-102971522.2049017,-1.66403,965284685.6499999,1814467769.11,,8.99,-29.8053,2025-02-23T01:52:21.073Z,0.01726188,36438.60809,2023-10-12T17:25:09.068Z,,2025-04-02T13:45:37.738Z,0.13005332870158626,0.7901364308653593,-5.6239613093979415
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,306.53,6079422433,26,6079474115,159728623,316.42,302.63,-4.153783707614878,-1.337,-84892133.34479237,-1.37715,19850281.14665078,19850449.89665078,21000000.0,3785.82,-91.90148,2017-12-20T00:00:00.000Z,76.93,298.51321,2018-12-16T00:00:00.000Z,,2025-04-02T13:45:41.559Z,0.32794465469220535,-1.3369989414883798,-9.099642227530039
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.6,5506557960,27,5506557960,114932273,4.67,4.52,-0.01469964825724901,-0.31878,-18804141.33245468,-0.34032,1199999994.2,1199999994.2,2000000000.0,8.45,-45.80126,2024-12-27T11:41:24.992Z,0.0142795,31973.7301,2020-06-25T04:17:05.895Z,,2025-04-02T13:45:39.411Z,0.4414926273535463,-0.31877790268541467,-10.462735785276928
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1873.45,5348876933,28,5348876933,151269468,1923.26,1849.82,0.627993,0.03353,-3168641.187973976,-0.0592,2857550.438748959,2857550.438748959,,4799.89,-60.92466,2021-11-09T00:00:00.000Z,82.1,2184.40496,2018-12-15T00:00:00.000Z,,2025-04-02T13:45:35.628Z,0.38544985241662866,0.03353183397032745,-9.260589361414361
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,5261352076,29,5261357072,103600129,1.0,0.999309,0.00064393,0.06443,7933618.0,0.15102,5261979314.336984,5261984310.574674,,1.032,-3.12551,2023-12-20T15:38:34.596Z,0.929486,7.56743,2024-10-04T07:57:15.809Z,,2025-04-02T13:45:42.295Z,-0.001675697140325596,0.06442903893268669,0.08621788528159283
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.002,5184771596,30,5184771596,231993632,1.004,0.99749,0.00349663,0.35005,-14126720.80815506,-0.27173,5184994401.618545,5184994401.618545,,1.05,-4.80365,2024-08-05T14:21:42.527Z,0.942186,6.0857,2024-12-05T22:30:39.827Z,,2025-04-02T13:45:41.706Z,0.28862622545782673,0.3500478400489898,0.2702471668428114
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.671851,4535441745,31,6978234054,172944027,0.716469,0.66169,-0.033732836192390536,-4.78084,-243427303.60262585,-5.09383,6786487854.054746,10441695276.55066,100000000000.0,2.99,-77.71497,2025-02-26T16:41:03.732Z,0.615725,8.13112,2025-02-20T18:06:42.957Z,,2025-04-02T13:45:37.734Z,0.37509205916749194,-4.7808375836139225,-17.42870254808735
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.46,4491764333,32,13451159382,32220399,13.91,12.95,0.05836,0.43537,32172095.0,0.72141,333928180.0,999990391.0,1000000000.0,34.96,-61.58836,2024-12-22T03:56:00.276Z,3.81,252.56927,2024-11-29T09:30:30.871Z,,2025-04-02T13:45:34.993Z,-1.0109915643547973,0.4353708429076301,-16.277897727560287
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1987.18,4253507500,33,4253507500,7091904,2043.61,1965.96,-4.874832066264162,-0.24471,-8831518.623059273,-0.2072,2141473.157626189,2141473.157626189,,4311.81,-54.04197,2024-12-06T20:32:25.758Z,1888.67,4.92143,2025-03-30T22:16:17.541Z,,2025-04-02T13:45:33.898Z,0.0754256952156481,-0.24471321378933966,-9.408231677451226
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.89,4019964569,34,9148979621,29103071,28.31,27.81,-0.35154219489064786,-1.24462,-47122716.31528044,-1.15864,144118517.10815412,327997263.0,400000000.0,31.28,-10.83349,2025-03-02T22:22:36.852Z,3.06,810.84303,2023-02-13T19:01:21.899Z,,2025-04-02T13:45:33.710Z,-0.09496975350628264,-1.244617193826825,-4.527566790184116
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,216.31,3984815715,35,3984815715,70487391,219.83,214.23,-0.5906023363205009,-0.27229,-18019942.176615715,-0.45018,18446744.07370955,18446744.07370955,,542.33,-60.11457,2018-01-09T00:00:00.000Z,0.216177,99961.15698,2015-01-14T00:00:00.000Z,,2025-04-02T13:45:37.011Z,0.29310372614130886,-0.27228657497643083,-3.7619597358214922
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.08,3653906589,36,6084945187,154229942,6.33,6.02,-0.09020442151877273,-1.46214,-51525892.45220947,-1.39055,600483073.71,1000000000.0,1000000000.0,44.92,-86.45475,2021-05-03T05:25:04.822Z,1.03,490.60735,2020-09-17T01:20:38.214Z,,2025-04-02T13:45:32.523Z,0.15800489861475575,-1.4621418595588933,-14.044300739819265
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.3,3198427192,37,6066784101,134497563,5.44,5.2,-0.06919345174204228,-1.28836,-28835872.171821117,-0.89351,604387319.64246,1146403266.800666,,19.92,-73.43708,2023-01-26T14:25:17.390Z,3.08,71.8114,2022-12-29T21:35:14.796Z,,2025-04-02T13:45:38.624Z,0.3416574309918154,-1.2883605050627678,-11.601002708805995
