,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
47,2021-08-26,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,1834172,0.0,0.0
48,2021-08-27,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,1562517,0.0,0.0
49,2021-08-28,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,1664133,0.0,0.0
50,2021-08-29,7.999999979801942e-06,1.2999999853491317e-05,7.999999979801942e-06,1.1000000085914508e-05,4856274,0.0,0.0
51,2021-08-30,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,3655937,0.0,0.0
52,2021-08-31,1.1000000085914508e-05,1.8000000636675395e-05,1.1000000085914508e-05,1.8000000636675395e-05,4857524,0.0,0.0
53,2021-09-01,1.8000000636675395e-05,2.5999999706982635e-05,1.700000029813964e-05,2.4000000848900527e-05,11637726,0.0,0.0
54,2021-09-02,2.4000000848900527e-05,2.4000000848900527e-05,1.2999999853491317e-05,1.4000000192027073e-05,11903191,0.0,0.0
55,2021-09-03,1.4000000192027073e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.8999999156221747e-05,7093243,0.0,0.0
56,2021-09-04,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.9999999494757503e-05,3992161,0.0,0.0
57,2021-09-05,1.9999999494757503e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.9999999494757503e-05,3880482,0.0,0.0
58,2021-09-06,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,2796823,0.0,0.0
59,2021-09-07,1.8000000636675395e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.4000000192027073e-05,3589648,0.0,0.0
60,2021-09-08,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027073e-05,3409932,0.0,0.0
61,2021-09-09,1.4000000192027073e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,2299571,0.0,0.0
62,2021-09-10,1.4000000192027073e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.4999999621068127e-05,2943946,0.0,0.0
63,2021-09-11,1.4999999621068127e-05,1.700000029813964e-05,1.2999999853491317e-05,1.700000029813964e-05,2355719,0.0,0.0
64,2021-09-12,1.700000029813964e-05,4.099999932805076e-05,1.5999999959603883e-05,3.7000001611886546e-05,22272399,0.0,0.0
65,2021-09-13,3.7000001611886546e-05,4.3000000005122274e-05,2.5999999706982635e-05,3.9999998989515007e-05,28132798,0.0,0.0
66,2021-09-14,3.9999998989515007e-05,4.70000013592653e-05,3.300000025774352e-05,4.3000000005122274e-05,23571346,0.0,0.0
67,2021-09-15,4.3000000005122274e-05,5.400000009103678e-05,4.3000000005122274e-05,4.8999998398358e-05,20374514,0.0,0.0
68,2021-09-16,4.8999998398358e-05,7.000000186963007e-05,4.600000102072954e-05,6.199999916134402e-05,29632796,0.0,0.0
69,2021-09-17,6.199999916134402e-05,6.199999916134402e-05,5.199999941396527e-05,5.6000000768108293e-05,17237957,0.0,0.0
70,2021-09-18,5.6000000768108293e-05,5.700000110664405e-05,4.5000000682193786e-05,5.2999999752501026e-05,10191734,0.0,0.0
71,2021-09-19,5.2999999752501026e-05,5.400000009103678e-05,4.5000000682193786e-05,4.600000102072954e-05,6951123,0.0,0.0
72,2021-09-20,4.600000102072954e-05,4.600000102072954e-05,3.199999991920777e-05,3.7999998312443495e-05,8838136,0.0,0.0
73,2021-09-21,3.7999998312443495e-05,3.899999865097925e-05,2.5999999706982635e-05,2.9000000722589903e-05,8664140,0.0,0.0
74,2021-09-22,2.9000000722589903e-05,4.5000000682193786e-05,2.9000000722589903e-05,4.400000034365803e-05,7727112,0.0,0.0
75,2021-09-23,4.400000034365803e-05,4.600000102072954e-05,3.899999865097925e-05,4.199999966658652e-05,5287725,0.0,0.0
76,2021-09-24,4.199999966658652e-05,4.600000102072954e-05,3.199999991920777e-05,4.5000000682193786e-05,6104185,0.0,0.0
77,2021-09-25,4.5000000682193786e-05,4.600000102072954e-05,3.7999998312443495e-05,4.199999966658652e-05,4762269,0.0,0.0
78,2021-09-26,4.199999966658652e-05,4.400000034365803e-05,3.7999998312443495e-05,4.199999966658652e-05,3078873,0.0,0.0
79,2021-09-27,4.199999966658652e-05,5.900000178371556e-05,4.199999966658652e-05,5.700000110664405e-05,7044106,0.0,0.0
80,2021-09-28,5.700000110664405e-05,5.999999848427251e-05,4.999999873689376e-05,4.999999873689376e-05,10570583,0.0,0.0
81,2021-09-29,4.999999873689376e-05,5.199999941396527e-05,4.600000102072954e-05,4.70000013592653e-05,6220188,0.0,0.0
82,2021-09-30,4.600000102072954e-05,4.999999873689376e-05,4.600000102072954e-05,4.8999998398358e-05,3641503,0.0,0.0
83,2021-10-01,4.8999998398358e-05,5.400000009103678e-05,4.8000001697801054e-05,4.8999998398358e-05,3718691,0.0,0.0
84,2021-10-02,4.8999998398358e-05,5.0999999075429514e-05,4.8000001697801054e-05,4.999999873689376e-05,3736810,0.0,0.0
85,2021-10-03,4.999999873689376e-05,7.500000356230885e-05,4.999999873689376e-05,6.900000153109431e-05,14517413,0.0,0.0
86,2021-10-04,6.900000153109431e-05,7.500000356230885e-05,5.0999999075429514e-05,5.2999999752501026e-05,18559821,0.0,0.0
87,2021-10-05,5.2999999752501026e-05,5.500000042957254e-05,4.70000013592653e-05,5.2999999752501026e-05,10785535,0.0,0.0
88,2021-10-06,5.2999999752501026e-05,6.299999949987978e-05,4.8000001697801054e-05,6.199999916134402e-05,11312112,0.0,0.0
89,2021-10-07,6.199999916134402e-05,7.000000186963007e-05,5.700000110664405e-05,6.500000017695129e-05,14930395,0.0,0.0
90,2021-10-08,6.500000017695129e-05,7.000000186963007e-05,5.700000110664405e-05,6.600000051548705e-05,13638704,0.0,0.0
91,2021-10-09,6.600000051548705e-05,6.900000153109431e-05,6.399999983841553e-05,6.399999983841553e-05,10701300,0.0,0.0
92,2021-10-10,6.399999983841553e-05,6.500000017695129e-05,5.700000110664405e-05,6.0999998822808266e-05,9783798,0.0,0.0
93,2021-10-11,6.0999998822808266e-05,7.300000288523734e-05,5.700000110664405e-05,6.800000119255856e-05,14658250,0.0,0.0
94,2021-10-12,6.800000119255856e-05,7.899999764049426e-05,6.70000008540228e-05,7.400000322377309e-05,18566588,0.0,0.0
95,2021-10-13,7.400000322377309e-05,8.099999831756577e-05,7.200000254670158e-05,7.699999696342275e-05,17291298,0.0,0.0
96,2021-10-14,7.699999696342275e-05,7.699999696342275e-05,7.200000254670158e-05,7.300000288523734e-05,11811812,0.0,0.0
97,2021-10-15,7.300000288523734e-05,7.300000288523734e-05,6.199999916134402e-05,6.600000051548705e-05,12973103,0.0,0.0
98,2021-10-16,6.600000051548705e-05,7.100000220816582e-05,5.999999848427251e-05,6.0999998822808266e-05,9549773,0.0,0.0
99,2021-10-17,6.0999998822808266e-05,7.599999662488699e-05,5.900000178371556e-05,7.400000322377309e-05,11759558,0.0,0.0
