id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,83.43,6324967541,23,6324994698,441578333,86.6,81.09,-2.7188496418032173,-3.1561,-199680024.08823013,-3.0604,75694664.48347135,75694989.48347135,84000000.0,410.26,-79.63382,2021-05-10T03:13:07.904Z,1.15,7172.90971,2015-01-14T00:00:00.000Z,,2025-03-31T15:43:43.585Z,1.0194169075587556,-3.1560993829712647,-10.998144118028144
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.29,6203563968,24,11409078412,63928280,6.33,6.14,0.04888564,0.78344,48469773.0,0.78747,986449694.29,1814196157.21,,8.99,-30.01972,2025-02-23T01:52:21.073Z,0.01726188,36326.99451,2023-10-12T17:25:09.068Z,,2025-03-31T15:43:43.316Z,-0.30429013487515666,0.7834371620561923,-7.915382053640076
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.07,6200746126,25,6200746126,157911961,4.11,3.96,0.01062043,0.26141,16535456.0,0.26738,1522267060.0,1522267060.0,,54.98,-92.58316,2021-11-04T14:10:09.301Z,2.7,51.1739,2020-08-20T05:48:11.359Z,,2025-03-31T15:43:35.809Z,0.5366993273796866,0.2614102574521966,-13.50832839952899
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,304.41,6047621426,26,6047626186,190089876,305.25,290.34,0.290917,0.09566,9110485.0,0.15087,19849578.02165078,19849596.77165078,21000000.0,3785.82,-91.9506,2017-12-20T00:00:00.000Z,76.93,296.09629,2018-12-16T00:00:00.000Z,,2025-03-31T15:43:43.983Z,0.8152397215893108,0.09566017524639256,-7.805470213470446
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.51,5421717895,27,5421717895,124330092,4.59,4.41,-0.07396689781607613,-1.61185,-87272452.9125452,-1.58418,1199999994.2,1199999994.2,2000000000.0,8.45,-46.55926,2024-12-27T11:41:24.992Z,0.0142795,31525.15993,2020-06-25T04:17:05.895Z,,2025-03-31T15:43:44.265Z,0.1725187142030268,-1.6118471936794079,-7.408546409662288
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1842.43,5289037679,28,5289037679,290889140,1848.98,1777.68,26.05,1.43432,45094815.0,0.85994,2867445.04146197,2867445.04146197,,4799.89,-61.68021,2021-11-09T00:00:00.000Z,82.1,2140.23443,2018-12-15T00:00:00.000Z,,2025-03-31T15:43:42.939Z,0.4922281037517883,1.4343204478931866,-11.334404623733926
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999928,5261155595,29,5261109734,107281659,1.001,0.999186,-0.000120915400506627,-0.01209,13398243.0,0.25531,5260976286.586115,5260930427.159415,,1.032,-3.11946,2023-12-20T15:38:34.596Z,0.929486,7.57415,2024-10-04T07:57:15.809Z,,2025-03-31T15:43:38.302Z,0.02039534456666501,-0.012090948951365551,0.035520708044394146
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.998048,5174715505,30,5174715505,249976727,1.005,0.99431,-0.003744104557349637,-0.37374,-14140458.245880127,-0.27252,5184994401.618545,5184994401.618545,,1.05,-4.7947,2024-08-05T14:21:42.527Z,0.942186,6.09568,2024-12-05T22:30:39.827Z,,2025-03-31T15:43:44.862Z,-0.2956516107615876,-0.37374080610736155,-0.22666961133622118
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.724202,4916921287,31,7564494288,286181402,0.778123,0.68196,-0.043263680301236174,-5.63721,-277482543.8751612,-5.34195,6773831906.479458,10421279856.12224,100000000000.0,2.99,-76.2215,2025-02-26T16:41:03.732Z,0.615725,15.37775,2025-02-20T18:06:42.957Z,,2025-03-31T15:43:44.797Z,2.825072331717321,-5.637210613745805,-23.244665035868415
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.22,4427465089,32,13258607123,73351677,13.32,12.26,0.696466,5.56061,245243781.0,5.86396,333928180.0,999990391.0,1000000000.0,34.96,-61.92757,2024-12-22T03:56:00.276Z,3.81,249.45577,2024-11-29T09:30:30.871Z,,2025-03-31T15:43:39.855Z,2.659782745159889,5.560612625102645,-21.83483358018284
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1960.69,4193564419,33,4193564419,30329288,1967.31,1888.67,29.7,1.53786,82134790.0,1.99772,2144203.517481979,2144127.712931403,,4311.81,-54.39719,2024-12-06T20:32:25.758Z,1888.67,4.11047,2025-03-30T22:16:17.541Z,,2025-03-31T15:43:39.868Z,0.6016009315608333,1.5378636310101228,-11.285118054224858
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,28.24,4073746324,34,9282226626,21083481,28.47,28.04,-0.02553669230423239,-0.09035,10397468.0,0.25588,144118517.10815412,328380962.0,400000000.0,31.28,-9.4382,2025-03-02T22:22:36.852Z,3.06,825.09602,2023-02-13T19:01:21.899Z,,2025-03-31T15:43:39.278Z,-0.42763527809288854,-0.09034706891317527,-2.940159980811063
